Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_Limit,Junction_Detail,Junction_Control,Pedestrian_Crossing_Type,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Road_Hazards,Vehicle_Reference.x,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Pedestrian_Location,Car_Passenger,Bus_or_Coach_Passenger,Vehicle_Reference.y,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_in_Restricted_Lane,Skidding_and_Overturning,Hit_Object_on_Road,Vehicle_veer_off_Road,Hit_Object_off_Road,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_CC,Engine_Type,Age_of_Vehicle
200501CW10820,Slight,1,1,22/6/2005,Wednesday,17:46,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,28,Slight,Crossing on facility,None,None,1,Bus/Coach,Going ahead,N,No,N,N,N,Job,M,33,8268,Heavy oil,2
200501CW10821,Slight,1,1,23/6/2005,Thursday,17:34,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,2,Slight,Sidewalk,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,F,43,1597,Petrol,9
200501CW10822,Slight,2,1,25/6/2005,Saturday,17:52,One way street,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,30,Slight,Not pedestrian,None,None,1,Bicycle,Waiting to/Turning left,N,No,N,N,N,Unknown,M,30,NA,NA,NA
200501CW10822,Slight,2,1,25/6/2005,Saturday,17:52,One way street,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,30,Slight,Not pedestrian,None,None,2,Taxi/Grab,Waiting to/Turning left,N,No,N,N,N,Job,M,-1,2664,Heavy oil,9
200501CW10823,Serious,2,1,26/6/2005,Sunday,18:00,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,26,Serious,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,F,26,NA,NA,NA
200501CW10823,Serious,2,1,26/6/2005,Sunday,18:00,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,26,Serious,Not pedestrian,None,None,2,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,NA,-1,NA,NA,NA
200501CW10824,Slight,1,1,26/6/2005,Sunday,16:15,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,23,Slight,Elsewhere,None,None,1,Bus/Coach,Halting,N,No,N,N,N,Job,F,34,NA,NA,NA
200501CW10825,Slight,1,1,28/6/2005,Tuesday,20:00,One way street,30,Crossroad,Traffic light,Traffic light,Lights lit,Rain,Wet,None,None,1,1,Driver,F,30,Slight,Not pedestrian,None,None,1,Motorcycle,Halting,N,Skid,N,N,N,Unknown,F,30,50,Petrol,4
200501CW10826,Slight,1,1,19/6/2005,Sunday,7:20,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Passenger,F,28,Slight,Not pedestrian,None,None,1,Motorcycle,Waiting to/Turning left,N,No,N,N,N,Unknown,M,32,535,Petrol,13
200501CW10827,Slight,2,1,22/6/2005,Wednesday,15:35,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,38,Slight,Not pedestrian,None,None,1,Motorcycle,Going ahead,N,No,Y,Y,N,Unknown,M,38,1299,Petrol,3
200501CW10827,Slight,2,1,22/6/2005,Wednesday,15:35,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,38,Slight,Not pedestrian,None,None,2,Goods Van,Changing lane,N,No,N,N,N,Job,M,-1,NA,NA,NA
200501CW10828,Slight,1,1,1/7/2005,Friday,18:50,Single motorway,30,Not at junction,NA,Non-junction pedestrian light crossing,Daylight,Rain,Wet,None,None,1,1,Pedestrian,M,15,Slight,Crossing on facility,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,29,2324,Petrol,3
200501CW10829,Slight,2,1,27/6/2005,Monday,10:39,One way street,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,44,Slight,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,M,44,NA,NA,NA
200501CW10829,Slight,2,1,27/6/2005,Monday,10:39,One way street,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,44,Slight,Not pedestrian,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,49,NA,NA,NA
200501CW10830,Slight,1,1,22/6/2005,Wednesday,14:55,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,38,Slight,Footbridge,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,83,4999,Petrol,5
200501CW10831,Serious,2,1,15/6/2005,Wednesday,1:30,Single motorway,30,T-junction,Traffic light,No physical crossing facility,Lights lit,Fine,Dry,None,None,1,1,Driver,M,55,Serious,Not pedestrian,None,None,1,Goods Van,Parking,N,No,N,N,N,Unknown,M,55,3900,Heavy oil,2
200501CW10831,Serious,2,1,15/6/2005,Wednesday,1:30,Single motorway,30,T-junction,Traffic light,No physical crossing facility,Lights lit,Fine,Dry,None,None,1,1,Driver,M,55,Serious,Not pedestrian,None,None,2,Bus/Coach,Going ahead,N,No,N,N,N,Job,M,43,NA,NA,NA
200501CW10832,Slight,1,1,24/6/2005,Friday,20:00,One way street,30,T-junction,Give-way sign,No physical crossing facility,Lights lit,Rain,Wet,None,None,1,1,Driver,M,41,Slight,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,M,41,NA,NA,NA
200501CW10833,Slight,2,1,4/7/2005,Monday,17:10,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Rain,Wet,None,None,2,1,Driver,F,38,Slight,Not pedestrian,None,None,1,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,M,26,1896,Petrol,7
200501CW10833,Slight,2,1,4/7/2005,Monday,17:10,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Rain,Wet,None,None,2,1,Driver,F,38,Slight,Not pedestrian,None,None,2,Bicycle,Going ahead,N,No,N,N,N,Unknown,F,38,NA,NA,NA
200501CW10834,Slight,1,1,2/6/2005,Thursday,17:35,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,17,Slight,Elsewhere,None,None,1,Bus/Coach,Going ahead,Y,No,N,N,N,Job,M,26,NA,NA,NA
200501CW10836,Slight,2,3,18/6/2005,Saturday,14:35,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Passenger,M,41,Slight,Not pedestrian,Rear seat,None,1,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,F,42,1998,Petrol,7
200501CW10836,Slight,2,3,18/6/2005,Saturday,14:35,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Passenger,M,41,Slight,Not pedestrian,Rear seat,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,26,NA,NA,NA
200501CW10836,Slight,2,3,18/6/2005,Saturday,14:35,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,2,Passenger,F,38,Slight,Not pedestrian,Rear seat,None,1,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,F,42,1998,Petrol,7
200501CW10836,Slight,2,3,18/6/2005,Saturday,14:35,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,2,Passenger,F,38,Slight,Not pedestrian,Rear seat,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,26,NA,NA,NA
200501CW10836,Slight,2,3,18/6/2005,Saturday,14:35,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,3,Passenger,M,25,Slight,Not pedestrian,Rear seat,None,1,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,F,42,1998,Petrol,7
200501CW10836,Slight,2,3,18/6/2005,Saturday,14:35,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,3,Passenger,M,25,Slight,Not pedestrian,Rear seat,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,26,NA,NA,NA
200501CW10837,Slight,1,1,29/6/2005,Wednesday,11:05,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Passenger,M,61,Slight,Not pedestrian,None,Standing,1,Bus/Coach,Moving off,N,No,N,N,N,Job,M,-1,NA,NA,NA
200501CW10838,Slight,1,1,6/7/2005,Wednesday,10:12,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,47,Slight,Crossing on facility,None,None,1,Bus/Coach,Going ahead,N,No,N,N,N,Job,M,32,7300,Heavy oil,NA
200501CW10840,Slight,1,1,2/7/2005,Saturday,23:28,Single motorway,30,Crossroad,Traffic light,Traffic light,Lights lit,Fine,Dry,None,None,1,1,Pedestrian,F,33,Slight,Crossing within 50m of facility,None,None,1,Taxi/Grab,Waiting to/Turning right,N,No,N,N,N,Job,M,65,2402,Heavy oil,1
200501CW10841,Slight,2,1,22/6/2005,Wednesday,11:25,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,24,Slight,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,M,24,NA,NA,NA
200501CW10841,Slight,2,1,22/6/2005,Wednesday,11:25,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,24,Slight,Not pedestrian,None,None,2,Car,Overtaking,N,No,N,N,N,Unknown,M,-1,1595,Petrol,3
200501CW10842,Slight,1,1,12/6/2005,Sunday,14:44,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,31,Slight,Sidewalk,None,None,1,Goods Van,Reversing,N,No,N,N,N,Job,M,35,NA,NA,NA
200501CW10843,Slight,2,1,20/6/2005,Monday,9:50,Single motorway,30,Crossroad,Traffic light,No physical crossing facility,Daylight,Rain,Wet,None,None,1,1,Driver,M,23,Slight,Not pedestrian,None,None,1,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,23,125,Petrol,2
200501CW10843,Slight,2,1,20/6/2005,Monday,9:50,Single motorway,30,Crossroad,Traffic light,No physical crossing facility,Daylight,Rain,Wet,None,None,1,1,Driver,M,23,Slight,Not pedestrian,None,None,2,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,M,71,3222,Petrol,5
200501CW10844,Slight,2,2,9/7/2005,Saturday,18:12,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,Traffic signal defective,None,1,2,Passenger,F,34,Slight,Not pedestrian,None,None,1,Goods Van,Waiting to/Turning right,N,No,N,N,N,Job,M,27,2496,Heavy oil,16
200501CW10844,Slight,2,2,9/7/2005,Saturday,18:12,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,Traffic signal defective,None,1,2,Passenger,F,34,Slight,Not pedestrian,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,F,42,2400,Petrol,4
200501CW10844,Slight,2,2,9/7/2005,Saturday,18:12,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,Traffic signal defective,None,2,1,Passenger,F,38,Slight,Not pedestrian,Rear seat,None,1,Goods Van,Waiting to/Turning right,N,No,N,N,N,Job,M,27,2496,Heavy oil,16
200501CW10844,Slight,2,2,9/7/2005,Saturday,18:12,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,Traffic signal defective,None,2,1,Passenger,F,38,Slight,Not pedestrian,Rear seat,None,2,Car,Going ahead,N,No,N,N,N,Unknown,F,42,2400,Petrol,4
200501CW10846,Slight,3,1,25/6/2005,Saturday,10:40,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,24,Slight,Not pedestrian,None,None,1,Car,Waiting,N,No,N,N,N,Unknown,M,24,2435,Petrol,10
200501CW10846,Slight,3,1,25/6/2005,Saturday,10:40,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,24,Slight,Not pedestrian,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,-1,973,Petrol,6
200501CW10846,Slight,3,1,25/6/2005,Saturday,10:40,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,24,Slight,Not pedestrian,None,None,3,Car,Waiting,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW10847,Slight,2,1,13/6/2005,Monday,10:30,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,F,20,Slight,Not pedestrian,None,None,1,Taxi/Grab,Waiting to/Turning right,N,No,N,N,N,Job,NA,-1,NA,NA,NA
200501CW10847,Slight,2,1,13/6/2005,Monday,10:30,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,F,20,Slight,Not pedestrian,None,None,2,Bicycle,Going ahead,N,No,Y,Y,Y,Unknown,F,20,NA,NA,NA
200501CW10848,Slight,2,1,8/7/2005,Friday,8:20,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,33,Slight,Not pedestrian,None,None,1,Car,Halting,N,No,N,N,N,Unknown,F,33,1896,Heavy oil,1
200501CW10848,Slight,2,1,8/7/2005,Friday,8:20,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,33,Slight,Not pedestrian,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,24,1783,Petrol,8
200501CW10849,Serious,1,1,24/6/2005,Friday,18:26,One way street,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,58,Serious,Elsewhere,None,None,1,Taxi/Grab,Going ahead,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW10850,Serious,2,2,14/6/2005,Tuesday,14:05,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,33,Serious,Not pedestrian,None,None,1,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,33,100,Petrol,3
200501CW10850,Serious,2,2,14/6/2005,Tuesday,14:05,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,33,Serious,Not pedestrian,None,None,2,Taxi/Grab,Moving off,N,No,N,N,N,Job,M,40,NA,NA,NA
200501CW10850,Serious,2,2,14/6/2005,Tuesday,14:05,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,2,Passenger,M,29,Slight,Not pedestrian,None,None,1,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,33,100,Petrol,3
200501CW10850,Serious,2,2,14/6/2005,Tuesday,14:05,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,2,Passenger,M,29,Slight,Not pedestrian,None,None,2,Taxi/Grab,Moving off,N,No,N,N,N,Job,M,40,NA,NA,NA
200501CW10851,Serious,1,1,5/6/2005,Sunday,15:20,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,87,Serious,Footbridge,None,None,1,Bicycle,Going ahead,Y,No,N,N,N,Unknown,M,19,NA,NA,NA
200501CW10852,Slight,1,1,29/6/2005,Wednesday,16:55,Dual motorway ,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,26,Slight,Crossing on facility,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,M,21,NA,NA,NA
200501CW10853,Slight,2,1,30/6/2005,Thursday,19:45,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Rain,Wet,None,None,1,1,Passenger,F,32,Slight,Not pedestrian,Rear seat,None,1,Taxi/Grab,Going ahead,Y,No,N,N,N,Job,M,22,2664,Heavy oil,6
200501CW10853,Slight,2,1,30/6/2005,Thursday,19:45,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Rain,Wet,None,None,1,1,Passenger,F,32,Slight,Not pedestrian,Rear seat,None,2,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,M,47,NA,NA,NA
200501CW10854,Slight,2,1,16/6/2005,Thursday,16:10,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Rain,Wet,None,None,1,1,Pedestrian,M,26,Slight,Elsewhere,None,None,1,Motorcycle,Overtaking,N,No,N,N,N,Unknown,M,29,599,Petrol,6
200501CW10854,Slight,2,1,16/6/2005,Thursday,16:10,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Rain,Wet,None,None,1,1,Pedestrian,M,26,Slight,Elsewhere,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,42,2967,Petrol,NA
200501CW10855,Slight,1,1,1/7/2005,Friday,21:39,One way street,30,Not at junction,NA,No physical crossing facility,Lights lit,Fine,Dry,None,None,1,1,Pedestrian,F,44,Slight,Unknown,None,None,1,Car,Reversing,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW10856,Slight,2,1,23/6/2005,Thursday,12:12,Single motorway,30,T-junction,Give-way sign,Zebra crossing,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,27,Slight,Footbridge,None,None,1,Goods Van,Going ahead,N,No,N,Y,N,Unknown,F,42,1298,Petrol,1
200501CW10856,Slight,2,1,23/6/2005,Thursday,12:12,Single motorway,30,T-junction,Give-way sign,Zebra crossing,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,27,Slight,Footbridge,None,None,2,Goods Van,Waiting to/Turning right,N,No,N,N,N,Job,M,22,4250,Heavy oil,5
200501CW10857,Slight,2,1,10/7/2005,Sunday,14:53,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,F,49,Slight,Not pedestrian,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,46,1598,Petrol,4
200501CW10857,Slight,2,1,10/7/2005,Sunday,14:53,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,F,49,Slight,Not pedestrian,None,None,2,Car,Changing lane,N,No,N,N,N,Unknown,F,49,2324,Petrol,2
200501CW10858,Slight,2,1,1/7/2005,Friday,14:30,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,2,1,Driver,M,40,Slight,Not pedestrian,None,None,1,Bus/Coach,Waiting to/Turning right,N,No,N,N,N,Job,M,30,NA,Heavy oil,21
200501CW10858,Slight,2,1,1/7/2005,Friday,14:30,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,2,1,Driver,M,40,Slight,Not pedestrian,None,None,2,Bicycle,Moving off,N,No,N,N,N,Unknown,M,40,NA,NA,NA
200501CW10860,Slight,2,1,4/7/2005,Monday,18:20,Single motorway,30,Private entrance,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,M,44,Slight,Not pedestrian,None,None,1,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,M,63,1998,Heavy oil,4
200501CW10860,Slight,2,1,4/7/2005,Monday,18:20,Single motorway,30,Private entrance,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,M,44,Slight,Not pedestrian,None,None,2,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,44,198,Petrol,1
200501CW10861,Serious,2,1,5/7/2005,Tuesday,6:55,Dual motorway ,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,M,31,Serious,Not pedestrian,None,None,1,Goods Van,Waiting,N,No,N,N,N,Job,M,27,2499,Heavy oil,6
200501CW10861,Serious,2,1,5/7/2005,Tuesday,6:55,Dual motorway ,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,M,31,Serious,Not pedestrian,None,None,2,Bicycle,Going ahead,N,No,Y,N,N,Unknown,M,31,NA,NA,NA
200501CW10862,Slight,1,2,5/7/2005,Tuesday,18:00,Single motorway,30,Crossroad,Give-way sign,Crossing with island,Daylight,Rain,Wet,None,None,1,1,Pedestrian,F,42,Slight,On island,None,None,1,Goods Van,Going ahead,N,Skid,N,N,N,To/From Work,M,52,NA,NA,NA
200501CW10862,Slight,1,2,5/7/2005,Tuesday,18:00,Single motorway,30,Crossroad,Give-way sign,Crossing with island,Daylight,Rain,Wet,None,None,1,2,Pedestrian,F,3,Slight,On island,None,None,1,Goods Van,Going ahead,N,Skid,N,N,N,To/From Work,M,52,NA,NA,NA
200501CW10863,Slight,2,1,8/7/2005,Friday,13:00,One way street,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Passenger,F,37,Slight,Not pedestrian,Rear seat,None,1,Car,Parking,N,No,N,N,N,Unknown,M,39,1998,Heavy oil,NA
200501CW10863,Slight,2,1,8/7/2005,Friday,13:00,One way street,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Passenger,F,37,Slight,Not pedestrian,Rear seat,None,2,Goods Van,Reversing,N,No,Y,N,N,Job,M,38,5861,Heavy oil,4
200501CW10864,Serious,2,1,7/5/2005,Saturday,14:20,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Wet,None,None,1,1,Passenger,M,-1,Serious,Not pedestrian,None,Seated,1,Bus/Coach,Going ahead,N,No,N,N,N,Job,M,39,7300,Heavy oil,2
200501CW10864,Serious,2,1,7/5/2005,Saturday,14:20,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Wet,None,None,1,1,Passenger,M,-1,Serious,Not pedestrian,None,Seated,2,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW10865,Slight,2,1,6/7/2005,Wednesday,19:35,Dual motorway ,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,M,28,Slight,Not pedestrian,None,None,1,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,NA,-1,1295,Petrol,17
200501CW10865,Slight,2,1,6/7/2005,Wednesday,19:35,Dual motorway ,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,2,1,Driver,M,28,Slight,Not pedestrian,None,None,2,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,28,NA,NA,NA
200501CW10866,Slight,2,1,4/7/2005,Monday,20:35,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,23,Slight,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,M,23,NA,NA,NA
200501CW10866,Slight,2,1,4/7/2005,Monday,20:35,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,23,Slight,Not pedestrian,None,None,2,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW10869,Slight,3,2,11/7/2005,Monday,10:05,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,2,1,Driver,M,41,Slight,Not pedestrian,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,23,4398,Petrol,3
200501CW10869,Slight,3,2,11/7/2005,Monday,10:05,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,2,1,Driver,M,41,Slight,Not pedestrian,None,None,2,Motorcycle,Waiting to/Turning right,N,No,N,N,N,Unknown,M,41,1199,Petrol,3
200501CW10869,Slight,3,2,11/7/2005,Monday,10:05,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,2,1,Driver,M,41,Slight,Not pedestrian,None,None,3,Bicycle,Waiting to/Turning right,N,No,N,N,N,Unknown,M,38,NA,NA,NA
200501CW10869,Slight,3,2,11/7/2005,Monday,10:05,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,3,2,Driver,M,38,Slight,Not pedestrian,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,23,4398,Petrol,3
200501CW10869,Slight,3,2,11/7/2005,Monday,10:05,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,3,2,Driver,M,38,Slight,Not pedestrian,None,None,2,Motorcycle,Waiting to/Turning right,N,No,N,N,N,Unknown,M,41,1199,Petrol,3
200501CW10869,Slight,3,2,11/7/2005,Monday,10:05,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,3,2,Driver,M,38,Slight,Not pedestrian,None,None,3,Bicycle,Waiting to/Turning right,N,No,N,N,N,Unknown,M,38,NA,NA,NA
200501CW10870,Slight,1,1,6/6/2005,Monday,11:30,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,44,Slight,Footbridge,None,None,1,Goods Van,Reversing,N,No,N,N,N,Job,M,30,NA,NA,NA
200501CW10872,Serious,2,1,22/6/2005,Wednesday,18:39,Single motorway,30,T-junction,Traffic light,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,29,Serious,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,M,29,NA,NA,NA
200501CW10872,Serious,2,1,22/6/2005,Wednesday,18:39,Single motorway,30,T-junction,Traffic light,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,29,Serious,Not pedestrian,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,-1,1988,Petrol,6
200501CW10873,Slight,1,1,18/3/2005,Friday,15:44,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,12,Slight,Crossing on facility,None,None,1,Goods Van,Going ahead,N,No,N,N,N,Unknown,M,25,1998,Heavy oil,1
200501CW10875,Serious,3,1,28/6/2005,Tuesday,15:42,Single motorway,30,Crossroad,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,38,Serious,Not pedestrian,None,None,1,Car,Waiting,N,No,N,N,N,Unknown,F,38,1600,Petrol,6
200501CW10875,Serious,3,1,28/6/2005,Tuesday,15:42,Single motorway,30,Crossroad,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,38,Serious,Not pedestrian,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,F,45,1598,Petrol,8
200501CW10875,Serious,3,1,28/6/2005,Tuesday,15:42,Single motorway,30,Crossroad,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,38,Serious,Not pedestrian,None,None,3,Unknown,Waiting to/Turning right,N,No,N,N,N,Job,M,43,NA,NA,NA
