Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_Limit,Junction_Detail,Junction_Control,Pedestrian_Crossing_Type,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Road_Hazards,Vehicle_Reference.x,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Pedestrian_Location,Car_Passenger,Bus_or_Coach_Passenger,Vehicle_Reference.y,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_in_Restricted_Lane,Skidding_and_Overturning,Hit_Object_on_Road,Vehicle_veer_off_Road,Hit_Object_off_Road,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_CC,Engine_Type,Age_of_Vehicle
200501CW11104,Slight,2,1,10/8/2005,Wednesday,17:56,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,F,27,Slight,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,F,27,NA,NA,NA
200501CW11104,Slight,2,1,10/8/2005,Wednesday,17:56,Dual motorway ,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,F,27,Slight,Not pedestrian,None,None,2,Goods Van,Waiting to/Turning left,N,No,N,N,N,Job,M,33,12580,Heavy oil,NA
200501CW11105,Slight,1,1,17/7/2005,Sunday,1:20,One way street,30,Crossroad,Give-way sign,No physical crossing facility,Lights lit,Fine,Dry,None,None,1,1,Pedestrian,M,23,Slight,Elsewhere,None,None,1,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,NA,-1,NA,NA,NA
200501CW11106,Serious,2,1,18/7/2005,Monday,17:26,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,33,Serious,Not pedestrian,None,None,1,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,33,NA,NA,NA
200501CW11106,Serious,2,1,18/7/2005,Monday,17:26,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,33,Serious,Not pedestrian,None,None,2,Car,Changing lane,N,No,N,N,N,Unknown,M,34,NA,NA,NA
200501CW11107,Slight,2,1,16/8/2005,Tuesday,18:15,Single motorway,30,Crossroad,Give-way sign,Zebra crossing,Daylight,Fine,Dry,None,None,1,1,Driver,M,35,Slight,Not pedestrian,None,None,1,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,M,35,2997,Petrol,2
200501CW11107,Slight,2,1,16/8/2005,Tuesday,18:15,Single motorway,30,Crossroad,Give-way sign,Zebra crossing,Daylight,Fine,Dry,None,None,1,1,Driver,M,35,Slight,Not pedestrian,None,None,2,Goods Van,Going ahead,N,No,N,N,N,Job,M,44,2299,Heavy oil,9
200501CW11109,Serious,1,1,29/6/2005,Wednesday,17:15,One way street,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Unknown,Dry,None,None,1,1,Pedestrian,F,-1,Serious,Elsewhere,None,None,1,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW11110,Slight,1,1,2/7/2005,Saturday,9:45,Dual motorway ,40,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,18,Slight,Not pedestrian,None,None,1,Car,Going ahead,N,No,Y,Y,Y,Unknown,M,18,1199,Petrol,1
200501CW11111,Serious,2,1,26/7/2005,Tuesday,6:48,Dual motorway ,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,26,Serious,Not pedestrian,None,None,1,Motorcycle,Going ahead,N,Skid,N,N,N,Unknown,M,26,124,Petrol,1
200501CW11111,Serious,2,1,26/7/2005,Tuesday,6:48,Dual motorway ,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,26,Serious,Not pedestrian,None,None,2,Bicycle,Changing lane,N,No,N,N,N,Unknown,M,-1,NA,NA,NA
200501CW11113,Slight,2,1,31/8/2005,Wednesday,19:18,Single motorway,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Passenger,F,60,Slight,Not pedestrian,None,Standing,1,Bus/Coach,Moving off,N,No,N,N,N,Unknown,M,38,8268,Heavy oil,3
200501CW11113,Slight,2,1,31/8/2005,Wednesday,19:18,Single motorway,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Passenger,F,60,Slight,Not pedestrian,None,Standing,2,Taxi/Grab,Halting,N,No,N,N,N,Unknown,M,48,2402,Heavy oil,2
200501CW11115,Slight,2,1,5/7/2005,Tuesday,22:50,Single motorway,30,Not at junction,NA,No physical crossing facility,Lights lit,Rain,Wet,None,None,1,1,Driver,M,29,Slight,Not pedestrian,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,29,1799,Petrol,9
200501CW11115,Slight,2,1,5/7/2005,Tuesday,22:50,Single motorway,30,Not at junction,NA,No physical crossing facility,Lights lit,Rain,Wet,None,None,1,1,Driver,M,29,Slight,Not pedestrian,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,NA,-1,1588,Petrol,3
200501CW11116,Slight,1,1,22/8/2005,Monday,9:30,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Rain,Wet,None,None,1,1,Pedestrian,M,-1,Slight,Crossing within 50m of facility,None,None,1,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,30,998,Petrol,NA
200501CW11117,Serious,2,1,13/7/2005,Wednesday,19:36,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,32,Serious,Not pedestrian,None,None,1,Motorcycle,Overtaking,N,Skid,N,N,N,Unknown,M,32,NA,NA,NA
